1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,run,cl
1.592529290918218892e-08,1.300083675282019506e-02,3.972535276642481794e-02,3.097648163816291503e-02,7.060944523057742072e-04,1.191887416589945854e-02,1.033751469300642513e-05,2.690622030310908450e-02,1.728625172517212719e-04,3.240874976168670041e-02,3.483995686467564190e-02,3.259649562275663731e-09,3.834374759806026545e-02,4.191252840217547099e-02,2.627517112010611944e-02,7.874838240603684869e-02,4.955483101693552994e-03,1.171706876159179199e-02,1.535058803058337272e-02,1.420948480995440875e-02,2.541308227613086473e-02,1.099902397875358352e-02,1.390715540642279910e-02,1.885290348961107414e-11,8.886005901662972356e-03,1.117359486601500647e-02,4.723856004400911295e-03,1.205702695197294685e-02,1.333503948436589627e-02,7.053641597580581624e-03,3.506029896462038416e-04,6.227554823932516560e-03,4.537291408930645836e-02,2.358896681666718516e-54,4.751613099318998355e-03,3.623800405875967495e-02,1.334754274642546354e-02,1.392083924194198155e-10,5.450171735023237596e-02,3.166066001019215981e-02,8.053080654195910436e-13,2.733232730573941990e-02,1.773504142157748820e-02,2.729877915113249065e-02,6.894996043510796986e-04,7.604193405405002514e-03,1.337046861518567838e-02,2.704430539008701107e-11,2.035747106740433063e-02,7.435111433726138662e-03,1.844569774955087671e-02,1.463794824508738227e-02,5.994678124801492737e-03,1.228618701555818371e-02,2.054181427834584142e-02,2.930861405452924590e-02,3.288463553594860207e-03,2.607828309453774640e-03,9.396834519991540515e-27,5.069844251755832761e-03,3.440625462458439705e-03,6.780175063032820353e-25,6.431051422907507753e-03,3.394707955423115209e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.882777277695814886e-03,3.006070414048090528e-02,3.117015426389715613e-02,3.727105967985171880e-02,6.855881539520656100e-04,4.311585653999577307e-03,3.544965414483004090e-02,7.366695323715867841e-03,2.895315931768065783e-03,5.680563659714356513e-03,3.161850007633395122e-03,9.997139111291382298e-04,5.359542746220465753e-03,5.531224733245835960e-03,1.261758970397555517e-02,5.155149934195726869e-02,1.286418450593468746e-34,1.467927852540579572e-02,4.811120092747389956e-03,2.031507237054502434e-03,6.259406390944678451e-04,3.778206615825705308e-05,5.626062957990327074e-03,1.058857539074521305e-14,1.840677298087021671e-02,6.618277250431445213e-02,8.811048132316888493e-03,3.219074639058854687e-02,2.801875264302611246e-02,1.645011075290188710e-02,3.362950283538560484e-06,8.957851112619036674e-03,1.815603536909454752e-02,4.416013026988852397e-12,3.653994431768295414e-02,1.743793042948381042e-02,3.321441164551287156e-02,1.186122515544698793e-12,3.606865826454028895e-02,2.926791635075320919e-02,2.503194466704774732e-02,1.772098972284526924e-02,2.679070721668412244e-02,1.237613555772027057e-01,1.126757942398242754e-09,4.364890540487354051e-04,5.378919475279754156e-03,1.455515531390978538e-06,1.156201832252828909e-02,6.499688989554774062e-14,1.081531419919679049e-02,2.602428487892747416e-02,1.681976936885565613e-02,1.298446313016223506e-02,2.564042357178515814e-03,7.357089592185495769e-03,3.552000977395010231e-04,2.705991733356510887e-02,2.334334014072905265e-36,2.897112803267544327e-11,1.165418504480319334e-02,2.721662083862463888e-02,4.934489437237990841e-03,2.801721897244229681e-02,1.000000000000000000e+00,2.000000000000000000e+00
2.514057892801486290e-21,3.075493665710736426e-03,1.701931838491668042e-02,6.860825416553507916e-02,1.328039192038613329e-14,9.120097714115537629e-31,2.238990406138309172e-02,4.414289340977664566e-02,2.766832109119947056e-19,1.529529984319199674e-03,5.552419929731663463e-03,1.187147456090154518e-03,5.043338636107772693e-02,1.385232540308384448e-02,1.030459443362353456e-01,8.882316974823013800e-02,4.452649790845478819e-86,4.194654355224718828e-02,5.647746872373470700e-02,8.794856606478865302e-78,5.804710733391290657e-03,1.979358494510882536e-19,3.647891694823798131e-02,2.617816157922265349e-03,1.407088511661719679e-02,1.526050953682510933e-03,7.166793629516996426e-16,2.413266802424888710e-02,3.864777104547381659e-02,1.515040295435193633e-02,1.298025640302813657e-30,3.690079043819250663e-34,2.639576788778983524e-02,4.072656205601596531e-03,5.534640378646357742e-21,1.402823081365875066e-02,1.258108569121697495e-27,1.524323867067519343e-02,2.924425600626261862e-02,5.203804582835794973e-02,1.550918496063313976e-14,4.259088468279610269e-20,3.149736823787593204e-02,5.720926866832378756e-03,5.139429402076275541e-12,9.680132446632173232e-03,3.896392326107179366e-02,6.897031892741266919e-33,3.518729007630274404e-03,1.344759030471453427e-60,4.396682225978500790e-89,5.620910767593904032e-03,1.027543613918084804e-02,4.693256004964910630e-70,9.961973491782473009e-64,3.728996141103744361e-02,5.626758790037876618e-74,2.069241435169753593e-21,4.973446406062090178e-22,2.183034669459726559e-02,7.466597988890772767e-74,5.225621455563063573e-03,1.492537605354145140e-02,1.791605112493050225e-02,1.000000000000000000e+00,3.000000000000000000e+00
6.136455641324717653e-07,5.642711665475218458e-04,3.908567927174205758e-02,8.899271110448771227e-02,1.265536070335009783e-03,6.717844121782027762e-07,7.395197755463911449e-02,2.219679732761801680e-02,2.837890070660627987e-04,7.847449110099527811e-09,1.228356864751707742e-04,6.276035721290469801e-05,2.143059318408252478e-02,1.560779250189779817e-02,6.373912989335271673e-02,7.347827761417038972e-02,2.458848095314448631e-02,7.740213737108027521e-03,2.327535349249298599e-02,1.339344632510357787e-08,1.244758281038281282e-18,6.388712976807488686e-05,3.398528477263691727e-02,4.934165044653757159e-03,6.936737208842844171e-02,3.608395429889198810e-03,5.686765007220782929e-08,1.030380795410466887e-03,2.046319009755079341e-29,1.397300109621497227e-02,4.668362848403981085e-04,4.527200223344148011e-02,1.830220696532289248e-02,1.432344085150211513e-02,1.901112092923318286e-02,2.420346158935914103e-05,4.286652033977765637e-06,3.509164329165265217e-02,3.458640625079325581e-13,9.400203069894273733e-03,1.364954100425709895e-11,9.774830250406554410e-04,9.134352977129724105e-02,8.634448315963750089e-05,1.268197858109287578e-07,1.047121848397642233e-02,1.856976114569884595e-02,1.946368798814298259e-07,4.018725494830647366e-02,8.094805881681815395e-06,1.521615401001468392e-03,1.001770207680431055e-08,4.358790989988008818e-02,1.597586641381845002e-02,3.991137499995364440e-09,2.812604236228337384e-02,6.187017297960434054e-04,1.637941245851390370e-04,3.041628118021514216e-03,3.331360521391690029e-03,2.669306041253974391e-03,3.354451144232352237e-03,1.071930954346787986e-02,3.043394634612262741e-94,1.000000000000000000e+00,4.000000000000000000e+00
6.378221336772650415e-17,6.043583724970737030e-03,4.367588875933593739e-02,2.841442967480609094e-02,3.910716045171379454e-39,8.388651915266841057e-04,1.834546443676979277e-02,6.342575853618286075e-02,1.136332335667094087e-02,3.980345691953433020e-19,7.217872223426009771e-15,3.797285602411811873e-06,4.482498345453681671e-02,3.793595244244496456e-02,3.297205691618283058e-02,8.488097379471729043e-02,6.709239358188066535e-03,3.178977474718812368e-02,3.329909116205068131e-02,3.949260409647204460e-05,1.061648461530469850e-02,2.760250635840110715e-03,5.797220608304796963e-02,1.494669071024482421e-03,9.318077039141529558e-03,1.123804832915419570e-02,6.615506505635921636e-06,8.166606049903187350e-03,6.152937437996225389e-02,5.320013762819166513e-03,1.125680575188071341e-23,4.357720398601201348e-03,5.942067462861891358e-02,1.484081674382838750e-02,5.823961035725385101e-16,3.769761448339002674e-02,4.949556273961233767e-31,5.611756549825065605e-07,2.236689260923123423e-02,6.128928746238310188e-02,7.417177790272127981e-06,4.943357869067766322e-03,1.896140947834102503e-02,1.072645364353739042e-02,1.056863713829539782e-06,7.291795742579997139e-38,6.867671178145659527e-02,1.767186022891951771e-32,1.487161647543767303e-53,3.959955635935189794e-44,6.690162846059832802e-03,4.910128139538737918e-03,4.654353748985260060e-03,2.029148308101383643e-48,3.226109497725201664e-45,4.072682377222115735e-02,5.763108615698432928e-16,5.331688613833788978e-15,6.591532869604488605e-11,6.309473000195665907e-11,3.241739042024061698e-52,1.008939061537010517e-64,5.347597077330828313e-03,2.139593905325169743e-02,1.000000000000000000e+00,5.000000000000000000e+00
4.719491383086106934e-15,5.119979044236977695e-06,9.502316495941085309e-03,2.182182784670793838e-02,1.363710274125702686e-21,5.909984333392651581e-15,2.640080209698655173e-02,5.019966147410489382e-02,1.976740091099650140e-02,1.122621106123009374e-02,1.827170187565544413e-09,2.059260387647728451e-05,2.359540372710973791e-02,6.273185343798498570e-02,2.271238153820352018e-02,8.737476441023693530e-02,3.131978096978881715e-02,4.945687495234449282e-02,3.219005872274449676e-02,1.306706849576070098e-02,1.918588300512623357e-02,4.904472861381877016e-10,5.338674918933231095e-02,7.583934493768684434e-03,5.971364070296079781e-23,1.727445402404356734e-02,1.644384901100751431e-02,1.892894839609539446e-03,2.775612552066370267e-02,1.338488910289785650e-19,7.269626092743523751e-04,4.282323856709473534e-03,3.655579422414628049e-02,1.146584004244526576e-02,1.176313365505134901e-24,1.824113412746138085e-02,8.170664035002104049e-26,3.168332599992889839e-03,4.036568006619289245e-02,5.235590024722272529e-02,7.505854012410717591e-03,1.527142293517462328e-02,3.112688244207726870e-02,1.127969504045546108e-31,5.443141277950534175e-07,9.493153632662924488e-03,1.607419786165500269e-02,8.016655742332949744e-22,9.054583471716139836e-03,1.158381974150390122e-03,8.433609789207048568e-03,5.444779815647515959e-03,2.358519292306863070e-03,4.506616087188333557e-03,6.821946439312448138e-03,3.653655293450390473e-02,1.085756268932976706e-08,1.469731099598418043e-02,3.228108054529944671e-16,1.855875240674087490e-02,3.450417051267626831e-27,9.892528098995065231e-20,1.800632139489871317e-02,2.287258044498573922e-02,1.000000000000000000e+00,6.000000000000000000e+00
7.725776105578544342e-03,9.417366504612327549e-03,2.125975249354199181e-02,2.166717728351886738e-02,1.367307491295121128e-05,3.333851937751639450e-03,4.872824328308320192e-03,2.723346386197750268e-02,7.669732435289506982e-03,3.315773332655309271e-39,1.143446986315157371e-02,3.730301610811069790e-08,2.865742976902235090e-02,2.939931255062571899e-02,3.696425885215223056e-02,9.526329409951451999e-02,1.004687754655428193e-02,3.106901380496390058e-02,3.076132555447755323e-02,1.180636760206572704e-02,1.679758246198879285e-02,3.003265552709866518e-02,6.463851302546104460e-02,8.954879209332269191e-03,2.113094371237827021e-02,1.237872559789156626e-02,2.152444330556827976e-02,2.689187753377481754e-02,1.775695268681288380e-02,8.964988666566115000e-07,2.844733498949392307e-11,1.377366437869918976e-02,4.628017076747352465e-02,7.896722793632985835e-03,2.437035095988669339e-02,1.708655015199307334e-02,3.298751682139773427e-03,1.813953179758161574e-02,1.547232466809504194e-02,3.430540779468246176e-02,3.560305053519136759e-03,3.689347102487756935e-02,7.167117031571928858e-03,8.313298251078490245e-04,8.564514046350498594e-03,6.612518184978546771e-31,2.507976614238508276e-02,4.067284607029895040e-08,1.886056666226261155e-02,6.221990175972647204e-04,7.033672418426409334e-03,9.838437687935413720e-03,4.335976862691010112e-05,3.854594173244130662e-03,1.680176060023904142e-02,2.867140989638301135e-02,4.436642098315495691e-03,3.586921935845668614e-03,2.442377041299845738e-13,1.910804462489394339e-08,5.929464645278188263e-03,2.849554865451487621e-03,1.635908787807758072e-02,9.688815894529141659e-03,1.000000000000000000e+00,7.000000000000000000e+00
1.414921434008464260e-17,4.038844615237977947e-12,2.419069108263048953e-03,6.378649145693632283e-02,2.210689436791825897e-15,3.657661143643553549e-17,4.511068828369419088e-03,4.102916372391438027e-02,1.294319962124804832e-06,9.350473799497412343e-10,1.710720152966828963e-12,7.319108006298523372e-02,1.577525927465491321e-02,5.289181929300955376e-02,5.487689758733996920e-02,1.765947917928450961e-02,2.288868456483916093e-11,2.946924538334385821e-02,3.495431099827724791e-02,1.052716057252382000e-08,4.803107363879533962e-04,4.394266432823515740e-08,3.314769199549649770e-02,2.391381952386936437e-17,1.133763397577005458e-09,2.422999082607097931e-06,5.740074220431178043e-03,7.313435598760519019e-02,4.158498374206018311e-02,4.473223046620760947e-09,3.297367341657310433e-11,3.689079760783659044e-21,8.461490936830659559e-02,2.200267096873490341e-09,6.492252584127363517e-11,2.028146441166928104e-02,4.406637097980147663e-13,6.567113655601011822e-08,2.882880178483958333e-02,7.268117134566708104e-02,1.889420384072547203e-04,2.162298551342476984e-06,2.689076974058621835e-03,1.462093560271260166e-21,1.420684372783426815e-05,4.979033501632225151e-07,7.384727755232600721e-02,2.638844917094667000e-16,1.870738103850354273e-02,1.334481256272889621e-11,2.971695601204266964e-06,1.917426553460700189e-07,1.264927787769164376e-02,2.841488052322993968e-19,1.923783205453794489e-18,1.167608619121992819e-01,1.848826761710526938e-16,2.845334202524060713e-13,2.652142849938580744e-05,5.057020977423936414e-12,4.526924916614673070e-27,1.118337712174902210e-18,8.430161078650140472e-03,1.561897477896485691e-02,1.000000000000000000e+00,8.000000000000000000e+00
1.752380168856149147e-18,2.846138056073081393e-17,1.921953548253594810e-02,6.011641643894206216e-02,1.490275943906026502e-17,1.107653967400716285e-03,5.427526202314807494e-03,4.833354258058308178e-02,3.681518887251096988e-09,1.887524629043286703e-02,4.354871894219050112e-03,2.676871362688618659e-03,6.738884853438958933e-02,5.991655548648461282e-02,5.884464378075134755e-02,5.930324144139399040e-02,6.307531112962394548e-03,2.623874478176727726e-02,3.559138662447104695e-02,3.459610686364640586e-03,2.646219324004820805e-03,1.238225125056697674e-06,3.767091917187190275e-02,1.253398000591158324e-13,2.240804592807132351e-15,3.019190285628336378e-05,9.706605648683124671e-03,2.621204567958561327e-02,3.682208356277519301e-02,1.996028642720106024e-10,5.125896083383960508e-19,2.396369584762777019e-03,4.331854020629465757e-02,5.793382112673192523e-03,1.860320741382125772e-03,2.098675492085789324e-02,6.651126278812756129e-03,1.837639617180492014e-14,8.238948685530943228e-02,5.088871873440461990e-02,2.330788551201823130e-12,6.060978529765477370e-17,2.194156396607671936e-02,2.910497045300750301e-03,6.644938340449147579e-03,2.935120121058293428e-03,1.422167376346352222e-02,2.131747884289089576e-24,3.267174093429743836e-03,2.323203279083780205e-03,1.374559875340024020e-18,6.846627471734007854e-03,3.911467952029686057e-03,6.943509779894337965e-03,5.102335804671942689e-15,8.623183331404504770e-02,1.972877888544856804e-40,1.873324586173562951e-52,3.850767335961190565e-04,1.429244108740065911e-02,1.377267963292843499e-36,2.314712375405480507e-36,3.478263088751468949e-03,1.913037646298140770e-02,1.000000000000000000e+00,9.000000000000000000e+00
8.342274870318478960e-03,2.127013745429072040e-10,1.008743760954530083e-02,5.290205393041044757e-02,5.463060037940252987e-03,5.740431282119999069e-03,1.618079050092963156e-02,4.147574209528487321e-02,2.309325707074929631e-06,1.686208129755742890e-14,7.767355287010821452e-03,1.349315673118008964e-02,3.774153956188141396e-02,3.669122402515943848e-02,8.297360731879921403e-02,1.064413382452338436e-01,7.099446903794231871e-03,4.536976420705666341e-02,1.328903686816923155e-02,2.817179343766228541e-03,4.790479465044733022e-03,3.145058641502696071e-03,7.119103598446266390e-02,4.714107676376811523e-02,1.257198215833445556e-02,8.252820213431906818e-03,7.247236835055509765e-03,2.996801036919648914e-02,4.088491151139144603e-02,1.030906163398302364e-02,3.882974695836317793e-03,4.158203079278730022e-30,1.510455842731012535e-02,5.128450554078626082e-15,4.211459378600091397e-30,2.645352000618056421e-02,4.492819931861386992e-03,2.668260007270422535e-02,2.938545381967412606e-02,1.357313692793254804e-02,2.531163928346494125e-11,4.165678107894341814e-03,1.530664630842443891e-02,1.474717148411711044e-03,8.191828543639480611e-03,4.899478510610480626e-03,1.905311062805269476e-02,2.141426192760986646e-17,6.644704325394627450e-03,3.707196272166829309e-39,8.624073118780755526e-03,1.341258126559422177e-02,7.703347832188037377e-03,1.475343351034003132e-35,1.685397244191109703e-34,2.368499420422082169e-02,9.297423607999436733e-60,4.721917093975890392e-03,3.255679241683249407e-03,5.115843569263494976e-03,1.791596356882156757e-03,2.873669208758200624e-29,9.959802428047104944e-03,1.303951547692381967e-02,1.000000000000000000e+00,1.000000000000000000e+01
